datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
220902143210.380,21.080,-2.4328,1.7091,-1.5817,-0.9488,0.0183,-0.3138,-0.0306,356.9108,36.5331,2.6723
220902143210.490,21.180,-2.4325,1.7089,-1.5822,-0.9487,0.0171,-0.3147,-0.0264,357.1849,36.6510,2.2580
220902143210.588,21.280,-2.4312,1.7069,-1.5824,-0.9500,0.0146,-0.3107,-0.0267,357.4644,36.1730,2.3879
220902143210.684,21.380,-2.4291,1.7069,-1.5825,-0.9503,0.0140,-0.3099,-0.0273,357.5063,36.0648,2.4811
220902143210.783,21.480,-2.4275,1.7070,-1.5827,-0.9509,0.0138,-0.3080,-0.0283,357.4971,35.8350,2.6014
220902143210.881,21.580,-2.4265,1.7062,-1.5834,-0.9507,0.0125,-0.3085,-0.0282,357.6410,35.9040,2.6366
220902143210.977,21.680,-2.4258,1.7053,-1.5838,-0.9508,0.0114,-0.3083,-0.0275,357.7868,35.8738,2.6019
220902143211.092,21.780,-2.4257,1.7049,-1.5837,-0.9512,0.0111,-0.3073,-0.0260,357.8738,35.7613,2.4458
220902143211.187,21.880,-2.4263,1.7048,-1.5834,-0.9512,0.0114,-0.3074,-0.0251,357.8711,35.7706,2.3301
220902143211.284,21.980,-2.4272,1.7054,-1.5827,-0.9512,0.0132,-0.3074,-0.0245,357.7007,35.7782,2.2031
220902143211.381,22.080,-2.4280,1.7054,-1.5824,-0.9509,0.0129,-0.3083,-0.0246,357.7235,35.8885,2.2294
220902143211.479,22.180,-2.4280,1.7050,-1.5818,-0.9506,0.0124,-0.3093,-0.0226,357.8484,36.0121,2.0246
220902143211.590,22.280,-2.4278,1.7050,-1.5814,-0.9501,0.0118,-0.3110,-0.0228,357.9000,36.2170,2.0638
220902143211.688,22.380,-2.4274,1.7047,-1.5809,-0.9499,0.0108,-0.3115,-0.0236,357.9836,36.2770,2.1861
220902143211.785,22.480,-2.4268,1.7050,-1.5804,-0.9495,0.0114,-0.3126,-0.0240,357.8987,36.4106,2.2057
220902143211.882,22.580,-2.4260,1.7048,-1.5794,-0.9494,0.0097,-0.3129,-0.0243,358.0765,36.4472,2.2931
220902143211.981,22.680,-2.4246,1.7051,-1.5785,-0.9494,0.0087,-0.3131,-0.0240,358.1927,36.4658,2.3065
220902143212.078,22.780,-2.4231,1.7065,-1.5778,-0.9492,0.0090,-0.3136,-0.0250,358.1216,36.5221,2.3930
220902143212.190,22.880,-2.4218,1.7074,-1.5776,-0.9477,0.0083,-0.3182,-0.0225,358.2781,37.0900,2.1475
220902143212.288,22.980,-2.4207,1.7080,-1.5776,-0.9459,0.0084,-0.3237,-0.0212,358.2992,37.7487,1.9919
220902143212.384,23.080,-2.4196,1.7080,-1.5770,-0.9432,0.0060,-0.3315,-0.0208,358.5571,38.7048,2.0158
220902143212.482,23.180,-2.4196,1.7093,-1.5752,-0.9380,0.0078,-0.3454,-0.0279,358.0564,40.3831,2.6920
220902143212.580,23.280,-2.4214,1.7156,-1.5719,-0.9282,0.0197,-0.3681,-0.0498,355.7954,43.0991,4.4793
220902143212.678,23.380,-2.4215,1.7155,-1.5705,-0.9242,0.0150,-0.3787,-0.0466,356.3866,44.4241,4.2991
220902143212.792,23.480,-2.4212,1.7156,-1.5669,-0.9223,0.0151,-0.3826,-0.0515,356.1376,44.9006,4.8011
